metric,value,interpretation
schema_ok,True,"Schema is sufficient for parsing, but not enough for strategy design."
row_count,515,"Event count is sufficient, but event semantics must be constrained."
selected_variant,macro_usd_or_unknown,Selected variant should be macro-focused.
selected_bars_in_blackout,56974,Too broad if it removes a large share of all M15 bars.
category_count,oil_supply_shock=217,Large shock/backfill categories should not automatically be treated as scheduled-news blackout.
category_count,real_yield_shock=143,Large shock/backfill categories should not automatically be treated as scheduled-news blackout.
category_count,usd_shock=55,Large shock/backfill categories should not automatically be treated as scheduled-news blackout.
category_count,front_end_yield_shock=52,Large shock/backfill categories should not automatically be treated as scheduled-news blackout.
category_count,nominal_yield_shock=33,Large shock/backfill categories should not automatically be treated as scheduled-news blackout.
category_count,central_bank_gold_demand=10,Large shock/backfill categories should not automatically be treated as scheduled-news blackout.
category_count,fomc_statement=5,Large shock/backfill categories should not automatically be treated as scheduled-news blackout.
source_count,fred_numeric_backfill=500,"Backfilled numerical shock sources are useful as context labels, not necessarily event no-trade windows."
source_count,scheduled_seed=5,"Backfilled numerical shock sources are useful as context labels, not necessarily event no-trade windows."
source_count,gdelt:cfi.net.cn=2,"Backfilled numerical shock sources are useful as context labels, not necessarily event no-trade windows."
source_count,gdelt:news.china.com=2,"Backfilled numerical shock sources are useful as context labels, not necessarily event no-trade windows."
source_count,gdelt:gold.cnfol.com=1,"Backfilled numerical shock sources are useful as context labels, not necessarily event no-trade windows."
source_count,gdelt:ec.ltn.com.tw=1,"Backfilled numerical shock sources are useful as context labels, not necessarily event no-trade windows."
source_count,gdelt:money.hangzhou.com.cn=1,"Backfilled numerical shock sources are useful as context labels, not necessarily event no-trade windows."
source_count,gdelt:news.china.com.cn=1,"Backfilled numerical shock sources are useful as context labels, not necessarily event no-trade windows."
source_count,gdelt:nbd.com.cn=1,"Backfilled numerical shock sources are useful as context labels, not necessarily event no-trade windows."
source_count,gdelt:cqnews.net=1,"Backfilled numerical shock sources are useful as context labels, not necessarily event no-trade windows."
