object,name,status,row_count,columns
table,bars,ok,1559825,"source,symbol,timeframe,utc_time,open,high,low,close,tick_volume,spread,real_volume,source_time,imported_utc,raw_json,volume,ingested_at"
table,dryrun_outcomes,ok,1,"strategy_id,symbol,signal_closed_h1_utc,entry_utc,entry_price,tp_price,sl_price,exit_utc,exit_price,status,reason,session_utc,net_usd_x1,m1_bars_checked,imported_utc,raw_json"
table,dryrun_signals,ok,1,"strategy_id,symbol,signal_closed_h1_utc,signal_closed_h1_server,logged_at_gmt,session_utc,close_h1,sma10,distance_usd,direction,planned_entry_model,tp_usd,sl_usd,time_exit_h1_bars,dry_run_only,imported_utc,raw_json"
table,event_impact_validation_summary,ok,7,"event_class,event_channel,events_declustered,controls,avg_event_norm12,avg_control_norm12,avg_impact_lift,median_event_norm12,median_control_norm12,median_impact_lift,event_high_medium_rate,control_high_medium_rate,impact_rate_lift,event_noise_rate,control_noise_rate,event_direction_accuracy,control_direction_accuracy,validation_verdict,generated_utc"
table,event_pipeline_runs,ok,2,"run_id,tool_version,status,scheduled_count,manual_count,shock_count,unified_count,generated_utc,warnings"
table,event_pipeline_staging,ok,5,"event_id,event_time_utc,event_end_utc,title,event_class,event_channel,expected_gold_direction,initial_importance,confidence,source_name,source_url_or_note,manual_tags,notes,source_kind,dedupe_key,imported_utc"
table,import_runs,ok,20,"id,created_utc,tool_version,source,dataset,timeframe,path,sha256,rows_seen,rows_inserted,rows_updated,rows_bad,start_utc,end_utc,metadata_json"
table,macro_context_h1,ok,24225,"utc_time,macro_score,macro_regime,active_event_count,active_event_ids,active_labels,has_block_event,generated_utc"
table,macro_daily_regime,ok,1620,"obs_date,real_yield_10y,nominal_yield_10y,nominal_yield_2y,usd_index,wti,brent,cpi,ppi,fedfunds,d_real_yield_5d,d_real_yield_20d,d_usd_5d_pct,d_usd_20d_pct,d_oil_5d_pct,d_oil_20d_pct,yield_curve_10y2y,rate_pressure_score,usd_pressure_score,oil_inflation_pressure_score,growth_fear_score,macro_score_long_gold,macro_regime,regime_reason,generated_utc"
table,macro_events,ok,0,"event_id,event_time_utc,event_end_utc,window_start_utc,window_end_utc,label,category,impact,guard_before_min,guard_after_min,mode,event_gold_bias,safe_haven_score,real_yield_pressure,usd_pressure,oil_inflation_pressure,growth_fear_score,central_bank_demand_score,confidence,macro_score,macro_regime,source_note,imported_utc"
table,macro_numeric_observations,ok,8444,"source,series_id,obs_date,value,realtime_start,realtime_end,label,category,gold_driver,update_frequency,units_hint,fetched_utc,ssl_mode"
table,macro_update_runs,ok,8,"run_id,tool_version,source,status,series_requested,series_ok,observations_written,generated_utc,message"
table,news_event_class_weights,ok,7,"event_class,event_channel,events,avg_adaptive_score,avg_abs_impact_12h,avg_norm_impact_12h,direction_accuracy_12h,candidate_relevant_count,likely_noise_count,recommended_weight,generated_utc"
table,news_event_reactions,ok,510,"event_id,event_time_utc,title,event_class,event_channel,source_name,expected_gold_direction,initial_importance,confidence,macro_regime_numeric,macro_score_long_gold,anchor_bar_utc,anchor_price,ret_1h,ret_4h,ret_12h,ret_24h,mfe_12h,mae_12h,abs_impact_4h,abs_impact_12h,normalized_impact_4h,normalized_impact_12h,realized_direction_4h,realized_direction_12h,direction_match_4h,direction_match_12h,impact_bucket_12h,adaptive_score,verdict,generated_utc"
table,news_events,ok,516,"event_id,event_time_utc,event_end_utc,title,event_class,event_channel,expected_gold_direction,initial_importance,confidence,source_name,source_url_or_note,manual_tags,notes,imported_utc"
table,numeric_shock_event_runs,ok,3,"run_id,tool_version,generated_events,merged_events,generated_utc"
table,numeric_shock_events,ok,500,"event_id,event_time_utc,event_end_utc,title,event_class,event_channel,expected_gold_direction,initial_importance,confidence,source_name,source_url_or_note,manual_tags,notes,generated_utc"
table,sqlite_sequence,ok,1,"name,seq"
