area,metric,value,operator,threshold,ok,severity,note
stage_chain,stage45b2a_status,EXTERNAL_CONTEXT_ALIGNMENT_REPAIR_READY_NO_PROMOTION,==,EXTERNAL_CONTEXT_ALIGNMENT_REPAIR_READY_NO_PROMOTION,True,blocker,Stage45B2A must repair alignment before design precheck can pass.
p0,required_external_context_schema_ready,"['cme_gc_reference', 'dxy', 'news_calendar', 'us10y_yield']",superset,"['cme_gc_reference', 'dxy', 'news_calendar', 'us10y_yield']",True,blocker,"DXY, US10Y, CME reference, and news calendar must all be schema-valid."
daily_context,dxy_safe_lag_coverage_pct,0.9984423676012462,>=,0.95,True,blocker,Daily context must be forward-filled only after safe lag; optional real yield is useful but not mandatory.
daily_context,us10y_yield_safe_lag_coverage_pct,0.9984423676012462,>=,0.95,True,blocker,Daily context must be forward-filled only after safe lag; optional real yield is useful but not mandatory.
daily_context,real_yield_optional_safe_lag_coverage_pct,0.9984423676012462,>=,0.95,True,warning,Daily context must be forward-filled only after safe lag; optional real yield is useful but not mandatory.
cme_reference,cme_overlap_pct_of_bar_days,0.807632398753894,>=,0.7,True,blocker,CME/Yahoo GC reference must be aligned enough to support reference-feed sanity checks.
cme_reference,cme_return_corr,0.8445723130581777,>=,0.65,True,blocker,CME/Yahoo GC reference must be aligned enough to support reference-feed sanity checks.
cme_reference,cme_return_sign_agreement_pct,0.8658301158301158,>=,0.6,True,blocker,CME/Yahoo GC reference must be aligned enough to support reference-feed sanity checks.
news_blackout,selected_blackout_variant,macro_usd_or_unknown,in,macro_usd_or_unknown|macro_semantic_only,True,warning,Use a macro-focused variant rather than all news/generic gold news.
news_blackout,selected_blackout_coverage_pct,0.5558818651029827,>=,0.001,True,blocker,Blackout must cover at least a small non-zero share of bars.
news_blackout,selected_blackout_coverage_pct,0.5558818651029827,<=,0.25,False,blocker,"If blackout removes too many bars, the calendar is not suitable for baseline design."
news_semantics,mixed_numeric_backfill_or_shock_semantics,True,==,False,False,warning,Numeric-shock backfills are useful context but too broad for scheduled macro blackout.
