check,passed,severity,observed,expected
broker_db_schema_ok,True,HIGH,[],amarkets_bars has required context columns
pandas_available,True,HIGH,,pandas import succeeds
db_M15_present,True,HIGH,97573,M15 bars exist
derived_M15_context_rows,True,HIGH,97573,derived context table has rows
db_M5_present,True,MEDIUM,292567,M5 bars exist
derived_M5_context_rows,True,MEDIUM,292567,derived context table has rows
context_CTX_SESSION_AND_SPREAD_REGIME_availability,True,HIGH,"{""available_now"": true, ""status"": ""AVAILABLE_DERIVED_FROM_BROKER_DB"", ""found_paths"": []}",available now
context_CTX_NEWS_BLACKOUT_CALENDAR_availability,True,LOW,"{""available_now"": false, ""status"": ""NEEDS_MANUAL_OR_EXTERNAL_CSV"", ""found_paths"": []}",optional or can be added later
context_CTX_USD_RATE_PROXY_availability,True,LOW,"{""available_now"": false, ""status"": ""NEEDS_EXTERNAL_CSV_OR_EXISTING_PROXY"", ""found_paths"": []}",optional or can be added later
context_CTX_COT_WEEKLY_POSITIONING_availability,True,LOW,"{""available_now"": true, ""status"": ""LOCAL_PATH_FOUND_SCHEMA_NOT_ASSUMED"", ""found_paths"": [""/Users/vahid/Desktop/xauusd-trader/data/cot/cftc"", ""/Users/vahid/Desktop/xauusd-trader/data/cot/cftc/artifacts""]}",optional or can be added later
context_CTX_REFERENCE_PRICE_BASIS_availability,True,LOW,"{""available_now"": true, ""status"": ""LOCAL_REFERENCE_PATH_FOUND_OPTIONAL"", ""found_paths"": [""/Users/vahid/Desktop/xauusd-trader/data/normalized/normalized_twelvedata_XAU_USD_5min_backfill_20260619T051819Z.csv"", ""/Users/vahid/Desktop/xauusd-trader/data/normalized""]}",optional or can be added later
