table,row_count,columns,norm_columns
bars,1559825,"source, symbol, timeframe, utc_time, open, high, low, close, tick_volume, spread, real_volume, source_time, imported_utc, raw_json, volume, ingested_at","source, symbol, timeframe, utc_time, open, high, low, close, tick_volume, spread, real_volume, source_time, imported_utc, raw_json, volume, ingested_at"
dryrun_outcomes,1,"strategy_id, symbol, signal_closed_h1_utc, entry_utc, entry_price, tp_price, sl_price, exit_utc, exit_price, status, reason, session_utc, net_usd_x1, m1_bars_checked, imported_utc, raw_json","strategy_id, symbol, signal_closed_h1_utc, entry_utc, entry_price, tp_price, sl_price, exit_utc, exit_price, status, reason, session_utc, net_usd_x1, m1_bars_checked, imported_utc, raw_json"
dryrun_signals,1,"strategy_id, symbol, signal_closed_h1_utc, signal_closed_h1_server, logged_at_gmt, session_utc, close_h1, sma10, distance_usd, direction, planned_entry_model, tp_usd, sl_usd, time_exit_h1_bars, dry_run_only, imported_utc, raw_json","strategy_id, symbol, signal_closed_h1_utc, signal_closed_h1_server, logged_at_gmt, session_utc, close_h1, sma10, distance_usd, direction, planned_entry_model, tp_usd, sl_usd, time_exit_h1_bars, dry_run_only, imported_utc, raw_json"
event_impact_validation_summary,7,"event_class, event_channel, events_declustered, controls, avg_event_norm12, avg_control_norm12, avg_impact_lift, median_event_norm12, median_control_norm12, median_impact_lift, event_high_medium_rate, control_high_medium_rate, impact_rate_lift, event_noise_rate, control_noise_rate, event_direction_accuracy, control_direction_accuracy, validation_verdict, generated_utc","event_class, event_channel, events_declustered, controls, avg_event_norm12, avg_control_norm12, avg_impact_lift, median_event_norm12, median_control_norm12, median_impact_lift, event_high_medium_rate, control_high_medium_rate, impact_rate_lift, event_noise_rate, control_noise_rate, event_direction_accuracy, control_direction_accuracy, validation_verdict, generated_utc"
event_pipeline_runs,2,"run_id, tool_version, status, scheduled_count, manual_count, shock_count, unified_count, generated_utc, warnings","run_id, tool_version, status, scheduled_count, manual_count, shock_count, unified_count, generated_utc, warnings"
event_pipeline_staging,5,"event_id, event_time_utc, event_end_utc, title, event_class, event_channel, expected_gold_direction, initial_importance, confidence, source_name, source_url_or_note, manual_tags, notes, source_kind, dedupe_key, imported_utc","event_id, event_time_utc, event_end_utc, title, event_class, event_channel, expected_gold_direction, initial_importance, confidence, source_name, source_url_or_note, manual_tags, notes, source_kind, dedupe_key, imported_utc"
import_runs,20,"id, created_utc, tool_version, source, dataset, timeframe, path, sha256, rows_seen, rows_inserted, rows_updated, rows_bad, start_utc, end_utc, metadata_json","id, created_utc, tool_version, source, dataset, timeframe, path, sha256, rows_seen, rows_inserted, rows_updated, rows_bad, start_utc, end_utc, metadata_json"
macro_context_h1,24225,"utc_time, macro_score, macro_regime, active_event_count, active_event_ids, active_labels, has_block_event, generated_utc","utc_time, macro_score, macro_regime, active_event_count, active_event_ids, active_labels, has_block_event, generated_utc"
macro_daily_regime,1620,"obs_date, real_yield_10y, nominal_yield_10y, nominal_yield_2y, usd_index, wti, brent, cpi, ppi, fedfunds, d_real_yield_5d, d_real_yield_20d, d_usd_5d_pct, d_usd_20d_pct, d_oil_5d_pct, d_oil_20d_pct, yield_curve_10y2y, rate_pressure_score, usd_pressure_score, oil_inflation_pressure_score, growth_fear_score, macro_score_long_gold, macro_regime, regime_reason, generated_utc","obs_date, real_yield_10y, nominal_yield_10y, nominal_yield_2y, usd_index, wti, brent, cpi, ppi, fedfunds, d_real_yield_5d, d_real_yield_20d, d_usd_5d_pct, d_usd_20d_pct, d_oil_5d_pct, d_oil_20d_pct, yield_curve_10y2y, rate_pressure_score, usd_pressure_score, oil_inflation_pressure_score, growth_fear_score, macro_score_long_gold, macro_regime, regime_reason, generated_utc"
macro_events,0,"event_id, event_time_utc, event_end_utc, window_start_utc, window_end_utc, label, category, impact, guard_before_min, guard_after_min, mode, event_gold_bias, safe_haven_score, real_yield_pressure, usd_pressure, oil_inflation_pressure, growth_fear_score, central_bank_demand_score, confidence, macro_score, macro_regime, source_note, imported_utc","event_id, event_time_utc, event_end_utc, window_start_utc, window_end_utc, label, category, impact, guard_before_min, guard_after_min, mode, event_gold_bias, safe_haven_score, real_yield_pressure, usd_pressure, oil_inflation_pressure, growth_fear_score, central_bank_demand_score, confidence, macro_score, macro_regime, source_note, imported_utc"
